stage,seed,fold,validation_ma_st_rae,validation_point_ma_st_rae,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile,trajectory_pooling,ridge_mode
stage1,1701,0,0.9122526823182154,0.8972569285873278,0.8292089700698853,250,4,0.001,0.1,0.0001,0.5,128,0.08,1.0,0.005,0.85,2.0,0.8,0.2,0.8,0.3,valence,multiscale,per_endpoint
stage1,1701,0,1.1443750445436232,1.1222810226229398,0.9226725101470947,16,16,0.003,0.1,1e-06,1.0,128,0.25,1.5,0.005,0.6,2.0,0.8,0.8,0.8,0.3,electronic_local,multiscale,per_endpoint
stage1,1701,0,1.5640954518017238,1.5371295769328523,1.2740668058395386,16,16,0.003,0.01,0.0001,2.0,128,0.15,0.5,0.0,0.75,0.5,0.2,0.5,0.8,0.3,local_environment,multiscale,per_endpoint
stage1,1701,0,0.9515549539626895,0.9350819719338408,0.8408904671669006,500,4,0.001,1.0,1e-06,0.5,128,0.08,1.0,0.01,0.75,0.5,0.8,0.2,0.2,0.05,electronic_local,multiscale,per_endpoint
stage1,1701,0,0.9813075575728065,0.9663697634223735,0.8722067475318909,32,4,0.003,1.0,1e-06,2.0,128,0.08,0.5,0.005,0.75,0.5,0.5,0.2,0.2,0.3,local_environment,multiscale,shared
stage1,1701,0,0.9047777686921065,0.8901906984661128,0.8225663900375366,32,16,0.0003,1.0,1e-05,0.5,64,0.4,1.0,0.005,0.85,0.5,0.5,0.8,0.5,0.15,local_environment,multiscale,shared
stage1,1701,0,1.008920499519843,0.9918443357568318,0.8597363233566284,16,16,0.001,1.0,1e-06,2.0,128,0.08,1.0,0.0,0.75,0.5,0.8,0.5,0.2,0.15,periodic_valence,multiscale,shared
stage1,1701,0,0.9641824708342787,0.9486759964068676,0.8484416604042053,500,8,0.001,1.0,1e-06,0.5,64,0.08,1.0,0.005,0.75,0.5,0.5,0.8,0.5,0.15,electronic,multiscale,shared
stage1,1701,0,0.9900279360991581,0.9733466207774328,0.8484451770782471,250,8,0.003,1.0,1e-06,2.0,128,0.25,1.0,0.01,0.85,1.0,0.5,0.2,0.2,0.05,periodic_electronic,multiscale,per_endpoint
stage1,1701,0,1.0107799162579771,0.9931816732149227,0.8648592233657837,32,16,0.0003,1.0,1e-05,2.0,64,0.4,0.5,0.01,0.6,1.0,0.8,0.5,0.2,0.15,valence_electronic,multiscale,per_endpoint
