molecule_id,cyp_target,intervention,target,bond_index,ring_bond,mean_lyapunov,std_lyapunov,positive_block_fraction,repeats
OCNT-2328784,CYP1A2,atom_feature_ablation,local_valence,-1,False,0.010553858242928982,6.178487092256546e-05,0.985,2
OCNT-2328784,CYP1A2,atom_feature_ablation,donor_acceptor,-1,False,0.011605858337134123,0.00034887390211224556,0.9575,2
OCNT-2328784,CYP1A2,atom_feature_ablation,chirality,-1,False,0.011487533804029226,1.126294955611229e-05,0.975,2
OCNT-2328784,CYP1A2,atom_feature_ablation,neighbour_chemistry,-1,False,0.010574596002697945,0.00029789935797452927,0.9724999999999999,2
OCNT-0494110,CYP2C9,baseline,whole_molecule,-1,False,0.011464982759207487,0.00026098499074578285,0.9775,2
OCNT-0494110,CYP2C9,bond_deletion,0-1:SINGLE,0,False,0.011992871761322021,1.775100827217102e-06,0.98,2
OCNT-0494110,CYP2C9,bond_type_change,0-1:SINGLE->double,0,False,0.011559553910046816,0.0008253301493823528,0.985,2
OCNT-0494110,CYP2C9,bond_type_change,0-1:SINGLE->triple,0,False,0.011209351941943169,0.00020738691091537476,0.9775,2
OCNT-0494110,CYP2C9,bond_type_change,0-1:SINGLE->aromatic,0,False,0.011027787812054157,0.0003242846578359604,0.9775,2
OCNT-0494110,CYP2C9,bond_deletion,1-2:SINGLE,1,False,0.011643259320408106,0.00025776447728276253,0.98,2
OCNT-0494110,CYP2C9,bond_type_change,1-2:SINGLE->double,1,False,0.011706449557095766,0.0006444263271987438,0.975,2
OCNT-0494110,CYP2C9,bond_type_change,1-2:SINGLE->triple,1,False,0.010916474275290966,5.396176129579544e-05,0.9624999999999999,2
OCNT-0494110,CYP2C9,bond_type_change,1-2:SINGLE->aromatic,1,False,0.011663794051855803,9.871972724795341e-05,0.97,2
OCNT-0494110,CYP2C9,bond_deletion,2-3:DOUBLE,2,False,0.011365578044205904,0.0002544461749494076,0.975,2
OCNT-0494110,CYP2C9,bond_type_change,2-3:DOUBLE->single,2,False,0.012162388302385807,0.00013289973139762878,0.97,2
OCNT-0494110,CYP2C9,bond_type_change,2-3:DOUBLE->triple,2,False,0.011034293565899134,0.0001560593955218792,0.98,2
OCNT-0494110,CYP2C9,bond_type_change,2-3:DOUBLE->aromatic,2,False,0.011523667722940445,3.49879264831543e-05,0.9675,2
OCNT-0494110,CYP2C9,bond_deletion,3-4:SINGLE,3,False,0.01125324983149767,0.00013831071555614471,0.9724999999999999,2
OCNT-0494110,CYP2C9,bond_type_change,3-4:SINGLE->double,3,False,0.01178385317325592,2.734735608100891e-05,0.975,2
OCNT-0494110,CYP2C9,bond_type_change,3-4:SINGLE->triple,3,False,0.011022199410945177,0.00017393426969647408,0.9675,2
OCNT-0494110,CYP2C9,bond_type_change,3-4:SINGLE->aromatic,3,False,0.011933576315641403,4.396773874759674e-06,0.9775,2
OCNT-0494110,CYP2C9,bond_deletion,4-5:SINGLE,4,False,0.011625138577073812,0.00018948549404740334,0.9775,2
OCNT-0494110,CYP2C9,bond_type_change,4-5:SINGLE->double,4,False,0.012029051780700684,0.00010502710938453674,0.9824999999999999,2
OCNT-0494110,CYP2C9,bond_type_change,4-5:SINGLE->triple,4,False,0.011453505139797926,0.000345566775649786,0.98,2
OCNT-0494110,CYP2C9,bond_type_change,4-5:SINGLE->aromatic,4,False,0.011190923862159252,0.00026865582913160324,0.9775,2
OCNT-0494110,CYP2C9,bond_deletion,3-6:SINGLE,5,False,0.011584785301238298,0.0002847719006240368,0.9724999999999999,2
OCNT-0494110,CYP2C9,bond_type_change,3-6:SINGLE->double,5,False,0.011947865597903728,0.00031619053333997726,0.9775,2
