stage,seed,fold,validation_ma_st_rae,validation_point_ma_st_rae,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile,loss_mode,interval_loss_beta,interval_temperature
stage1,1701,0,0.9979566429085277,0.9871493409706331,0.8979702591896057,32,4,0.0003,0.01,1e-05,0.5,128,0.25,1.5,0.005,0.75,1.0,0.5,0.8,0.5,0.05,electronic_local,hybrid_interval,0.25,0.05
stage1,1701,0,0.9744455811024099,0.9638057116138322,0.889021098613739,64,4,0.003,0.01,1e-06,1.0,64,0.4,1.0,0.01,0.85,0.5,0.5,0.5,0.2,0.15,comprehensive,mse,0.0,0.05
stage1,1701,0,inf,inf,0.8805668950080872,32,16,0.0003,0.01,1e-06,1.0,128,0.25,1.5,0.005,0.6,0.5,0.5,0.8,0.2,0.3,periodic_electronic,hybrid_interval,0.75,0.1
stage2,1701,0,inf,inf,0.8234328031539917,125,4,0.003,0.1,1e-05,2.0,128,0.08,1.0,0.005,0.6,2.0,0.5,0.8,0.5,0.15,electronic,mse,0.0,0.05
stage2,1701,1,0.9019843896983439,0.8983590942272188,0.8837467432022095,125,4,0.003,0.1,1e-05,2.0,128,0.08,1.0,0.005,0.6,2.0,0.5,0.8,0.5,0.15,electronic,mse,0.0,0.05
stage2,1701,2,0.8578541049911746,0.8537644749772808,0.8758859038352966,125,4,0.003,0.1,1e-05,2.0,128,0.08,1.0,0.005,0.6,2.0,0.5,0.8,0.5,0.15,electronic,mse,0.0,0.05
stage2,1701,0,0.8882531115225272,0.8849210820957105,0.8361440896987915,125,8,0.003,0.01,0.0001,2.0,128,0.08,0.5,0.01,0.85,0.5,0.5,0.8,0.8,0.15,electronic_local,hybrid_interval,1.0,0.05
stage2,1701,1,inf,inf,0.913367748260498,125,8,0.003,0.01,0.0001,2.0,128,0.08,0.5,0.01,0.85,0.5,0.5,0.8,0.8,0.15,electronic_local,hybrid_interval,1.0,0.05
stage2,1701,2,inf,inf,0.8855960369110107,125,8,0.003,0.01,0.0001,2.0,128,0.08,0.5,0.01,0.85,0.5,0.5,0.8,0.8,0.15,electronic_local,hybrid_interval,1.0,0.05
stage2,1701,0,0.9016427546581408,0.8972501435325447,0.836528480052948,16,8,0.001,0.1,1e-06,1.0,128,0.4,0.5,0.005,0.85,0.5,0.5,0.8,0.2,0.05,periodic_electronic,hybrid_interval,1.0,0.02
stage2,1701,1,0.9441325934688157,0.9404057162653473,0.902001678943634,16,8,0.001,0.1,1e-06,1.0,128,0.4,0.5,0.005,0.85,0.5,0.5,0.8,0.2,0.05,periodic_electronic,hybrid_interval,1.0,0.02
stage2,1701,2,0.8779825048131845,0.8732957080556362,0.8911510705947876,16,8,0.001,0.1,1e-06,1.0,128,0.4,0.5,0.005,0.85,0.5,0.5,0.8,0.2,0.05,periodic_electronic,hybrid_interval,1.0,0.02
stage2,1701,0,0.9021661560069258,0.8976865279033021,0.8324698209762573,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline,mse,0.0,0.05
stage2,1701,1,0.9184881336206153,0.9145984991481575,0.891544759273529,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline,mse,0.0,0.05
stage2,1701,2,0.8696721530866984,0.8653025502582898,0.9004557132720947,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline,mse,0.0,0.05
stage2,1701,0,0.9372797906705153,0.9337962626332026,0.8715636134147644,125,4,0.0003,1.0,1e-05,2.0,64,0.08,1.0,0.01,0.6,0.5,0.5,0.5,0.5,0.15,valence,hybrid_interval,1.0,0.1
stage2,1701,1,0.9597417397812729,0.9561066986553346,0.9437313079833984,125,4,0.0003,1.0,1e-05,2.0,64,0.08,1.0,0.01,0.6,0.5,0.5,0.5,0.5,0.15,valence,hybrid_interval,1.0,0.1
stage2,1701,2,0.93769264962833,0.9332902723538863,0.9334202408790588,125,4,0.0003,1.0,1e-05,2.0,64,0.08,1.0,0.01,0.6,0.5,0.5,0.5,0.5,0.15,valence,hybrid_interval,1.0,0.1
stage2,1701,0,0.9595870297301354,0.956368348315275,0.8829349279403687,16,4,0.0003,0.1,1e-06,2.0,64,0.4,1.5,0.01,0.85,0.5,0.8,0.8,0.8,0.05,electronic_local,hybrid_interval,0.75,0.1
stage2,1701,1,0.9582191900644534,0.9554728605182548,0.9459320902824402,16,4,0.0003,0.1,1e-06,2.0,64,0.4,1.5,0.01,0.85,0.5,0.8,0.8,0.8,0.05,electronic_local,hybrid_interval,0.75,0.1
stage2,1701,2,0.9497995618228444,0.9453492931192692,0.9356520771980286,16,4,0.0003,0.1,1e-06,2.0,64,0.4,1.5,0.01,0.85,0.5,0.8,0.8,0.8,0.05,electronic_local,hybrid_interval,0.75,0.1
stage2,1701,0,0.879175734780799,0.8742394543713121,0.8041845560073853,16,16,0.0003,0.1,0.0001,2.0,64,0.08,0.5,0.01,0.85,0.5,0.8,0.8,0.8,0.05,periodic_valence,hybrid_interval,0.75,0.1
stage2,1701,1,0.8985351320935995,0.8941639837232626,0.8738688826560974,16,16,0.0003,0.1,0.0001,2.0,64,0.08,0.5,0.01,0.85,0.5,0.8,0.8,0.8,0.05,periodic_valence,hybrid_interval,0.75,0.1
stage2,1701,2,0.8514027252819573,0.8467556110548505,0.875342607498169,16,16,0.0003,0.1,0.0001,2.0,64,0.08,0.5,0.01,0.85,0.5,0.8,0.8,0.8,0.05,periodic_valence,hybrid_interval,0.75,0.1
stage2,1701,0,0.9587363757501031,0.9548845646183954,0.8591015338897705,32,4,0.001,1.0,0.0001,1.0,128,0.4,1.5,0.005,0.6,1.0,0.2,0.2,0.2,0.3,periodic,mse,0.0,0.02
stage2,1701,1,0.9133249122968605,0.9106135370439947,0.8913255333900452,32,4,0.001,1.0,0.0001,1.0,128,0.4,1.5,0.005,0.6,1.0,0.2,0.2,0.2,0.3,periodic,mse,0.0,0.02
stage2,1701,2,0.9009646857522525,0.8962639163969742,0.899707555770874,32,4,0.001,1.0,0.0001,1.0,128,0.4,1.5,0.005,0.6,1.0,0.2,0.2,0.2,0.3,periodic,mse,0.0,0.02
confirmation,1701,0,0.8562223928202123,0.8543452280752379,0.7841925621032715,16,16,0.0003,0.1,0.0001,2.0,64,0.08,0.5,0.01,0.85,0.5,0.8,0.8,0.8,0.05,periodic_valence,hybrid_interval,0.75,0.1
