stage,seed,fold,validation_ma_st_rae,validation_point_ma_st_rae,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile
confirmation,2909,0,0.828362244975315,0.8245228546259427,0.7747398018836975,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
confirmation,2909,1,0.8779450415986338,0.8751253032477454,0.8699336647987366,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
confirmation,2909,2,0.8053705895513574,0.8016024032443868,0.814745306968689,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
confirmation,2909,3,0.8567831739871259,0.8535864465536008,0.8670521378517151,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
confirmation,2909,4,0.8780455533843244,0.8738423302158731,0.8614494204521179,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
confirmation,4211,0,0.8145626999632517,0.811897481211679,0.763431191444397,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
confirmation,4211,1,0.8813248553303723,0.8789708031210133,0.8791238069534302,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
confirmation,4211,2,0.8149252691561422,0.8113329731317718,0.8335402011871338,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
confirmation,4211,3,0.8798921971242456,0.8762421823141648,0.8707131147384644,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
confirmation,4211,4,0.869168760934739,0.8641064679795196,0.8727681040763855,32,16,0.003,1.0,0.0001,1.0,64,0.08,0.5,0.01,0.6,1.0,0.8,0.8,0.8,0.15,electronic
confirmation,1701,0,0.8408794508472738,0.8385537992688713,0.7950940728187561,125,16,0.003,1.0,1e-06,1.0,128,0.4,0.5,0.0,0.75,2.0,0.5,0.5,0.2,0.3,periodic_electronic
confirmation,1701,1,0.8708226311620049,0.8691179282230098,0.8687612414360046,125,16,0.003,1.0,1e-06,1.0,128,0.4,0.5,0.0,0.75,2.0,0.5,0.5,0.2,0.3,periodic_electronic
confirmation,1701,2,0.811772257968878,0.8093883932867592,0.8226520419120789,125,16,0.003,1.0,1e-06,1.0,128,0.4,0.5,0.0,0.75,2.0,0.5,0.5,0.2,0.3,periodic_electronic
confirmation,1701,3,0.8593730120660623,0.8564603237293268,0.8695108294487,125,16,0.003,1.0,1e-06,1.0,128,0.4,0.5,0.0,0.75,2.0,0.5,0.5,0.2,0.3,periodic_electronic
confirmation,1701,4,0.8967893005177857,0.8943310183145192,0.8977572917938232,125,16,0.003,1.0,1e-06,1.0,128,0.4,0.5,0.0,0.75,2.0,0.5,0.5,0.2,0.3,periodic_electronic
confirmation,2909,0,0.8396002912736058,0.8359837861197099,0.7880602478981018,125,16,0.003,1.0,1e-06,1.0,128,0.4,0.5,0.0,0.75,2.0,0.5,0.5,0.2,0.3,periodic_electronic
confirmation,2909,1,0.8579806061478261,0.8548377142748758,0.8668848872184753,125,16,0.003,1.0,1e-06,1.0,128,0.4,0.5,0.0,0.75,2.0,0.5,0.5,0.2,0.3,periodic_electronic
confirmation,2909,2,0.8487167759993787,0.8447901064297496,0.8476051688194275,125,16,0.003,1.0,1e-06,1.0,128,0.4,0.5,0.0,0.75,2.0,0.5,0.5,0.2,0.3,periodic_electronic
confirmation,2909,3,0.8710623991483372,0.8669496644889021,0.8751041889190674,125,16,0.003,1.0,1e-06,1.0,128,0.4,0.5,0.0,0.75,2.0,0.5,0.5,0.2,0.3,periodic_electronic
confirmation,2909,4,0.9047270432860633,0.9009639004079959,0.9011058807373047,125,16,0.003,1.0,1e-06,1.0,128,0.4,0.5,0.0,0.75,2.0,0.5,0.5,0.2,0.3,periodic_electronic
confirmation,4211,0,0.850032276242382,0.8471374493284286,0.8070083856582642,125,16,0.003,1.0,1e-06,1.0,128,0.4,0.5,0.0,0.75,2.0,0.5,0.5,0.2,0.3,periodic_electronic
confirmation,4211,1,0.8694866051119,0.8674001646927751,0.8700092434883118,125,16,0.003,1.0,1e-06,1.0,128,0.4,0.5,0.0,0.75,2.0,0.5,0.5,0.2,0.3,periodic_electronic
confirmation,4211,2,0.8396099187216283,0.8357352248417851,0.8525959253311157,125,16,0.003,1.0,1e-06,1.0,128,0.4,0.5,0.0,0.75,2.0,0.5,0.5,0.2,0.3,periodic_electronic
confirmation,4211,3,0.8792538547907293,0.8747574281942772,0.8806883096694946,125,16,0.003,1.0,1e-06,1.0,128,0.4,0.5,0.0,0.75,2.0,0.5,0.5,0.2,0.3,periodic_electronic
confirmation,4211,4,0.9050595649263576,0.8996196703192946,0.9049773216247559,125,16,0.003,1.0,1e-06,1.0,128,0.4,0.5,0.0,0.75,2.0,0.5,0.5,0.2,0.3,periodic_electronic
