stage,seed,fold,validation_ma_st_rae,validation_point_ma_st_rae,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile,loss_mode,interval_loss_beta,interval_temperature
stage2,1701,2,0.8702457324850958,0.8655941488574515,0.873907208442688,250,16,0.0003,1.0,0.0001,2.0,128,0.15,0.5,0.0,0.75,0.5,0.2,0.5,0.8,0.3,local_environment,hybrid_interval,0.75,0.05
stage2,1701,0,0.927274775302388,0.9214015856558323,0.8340966105461121,64,8,0.003,0.1,1e-05,0.5,128,0.4,1.0,0.0,0.75,0.5,0.5,0.5,0.2,0.3,electronic,hybrid_interval,0.75,0.05
stage2,1701,1,0.8975638257410694,0.8934808140634216,0.8759769797325134,64,8,0.003,0.1,1e-05,0.5,128,0.4,1.0,0.0,0.75,0.5,0.5,0.5,0.2,0.3,electronic,hybrid_interval,0.75,0.05
stage2,1701,2,0.8782385745081521,0.8736894574370949,0.8886475563049316,64,8,0.003,0.1,1e-05,0.5,128,0.4,1.0,0.0,0.75,0.5,0.5,0.5,0.2,0.3,electronic,hybrid_interval,0.75,0.05
confirmation,1701,0,0.8267058166470174,0.8243744643952508,0.7743048667907715,250,16,0.003,0.1,1e-06,2.0,128,0.15,0.5,0.0,0.85,2.0,0.2,0.5,0.5,0.3,periodic_valence,hybrid_interval,0.5,0.05
confirmation,1701,1,0.8651045449352398,0.8624679331701138,0.8615472316741943,250,16,0.003,0.1,1e-06,2.0,128,0.15,0.5,0.0,0.85,2.0,0.2,0.5,0.5,0.3,periodic_valence,hybrid_interval,0.5,0.05
confirmation,1701,2,0.837096578712159,0.8341712795613984,0.8420960307121277,250,16,0.003,0.1,1e-06,2.0,128,0.15,0.5,0.0,0.85,2.0,0.2,0.5,0.5,0.3,periodic_valence,hybrid_interval,0.5,0.05
confirmation,1701,3,0.8790545589275991,0.8762881685969129,0.8689988255500793,250,16,0.003,0.1,1e-06,2.0,128,0.15,0.5,0.0,0.85,2.0,0.2,0.5,0.5,0.3,periodic_valence,hybrid_interval,0.5,0.05
confirmation,1701,4,0.8765962792355784,0.8738028361047555,0.8762480616569519,250,16,0.003,0.1,1e-06,2.0,128,0.15,0.5,0.0,0.85,2.0,0.2,0.5,0.5,0.3,periodic_valence,hybrid_interval,0.5,0.05
confirmation,2909,0,0.8575141245110026,0.8546364438647575,0.8010126352310181,250,16,0.003,0.1,1e-06,2.0,128,0.15,0.5,0.0,0.85,2.0,0.2,0.5,0.5,0.3,periodic_valence,hybrid_interval,0.5,0.05
confirmation,2909,1,0.8822382392765687,0.8799790270394799,0.8800005912780762,250,16,0.003,0.1,1e-06,2.0,128,0.15,0.5,0.0,0.85,2.0,0.2,0.5,0.5,0.3,periodic_valence,hybrid_interval,0.5,0.05
confirmation,2909,2,0.8344332287100455,0.8305746857548577,0.8290366530418396,250,16,0.003,0.1,1e-06,2.0,128,0.15,0.5,0.0,0.85,2.0,0.2,0.5,0.5,0.3,periodic_valence,hybrid_interval,0.5,0.05
