stage,seed,fold,validation_ma_st_rae,validation_point_ma_st_rae,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile,trajectory_pooling,ridge_mode
confirmation,2909,2,0.8020079253498589,0.7987738019291518,0.8114228844642639,125,8,0.001,1.0,1e-06,2.0,128,0.08,0.5,0.01,0.85,0.5,0.5,0.8,0.8,0.15,electronic_local,multiscale,per_endpoint
confirmation,2909,3,0.880200899257508,0.8755007862902913,0.8737464547157288,125,8,0.001,1.0,1e-06,2.0,128,0.08,0.5,0.01,0.85,0.5,0.5,0.8,0.8,0.15,electronic_local,multiscale,per_endpoint
confirmation,2909,4,0.8887873141241357,0.8848576046772192,0.8833324909210205,125,8,0.001,1.0,1e-06,2.0,128,0.08,0.5,0.01,0.85,0.5,0.5,0.8,0.8,0.15,electronic_local,multiscale,per_endpoint
confirmation,4211,0,0.8432364522385426,0.8402026253079953,0.7958486080169678,125,8,0.001,1.0,1e-06,2.0,128,0.08,0.5,0.01,0.85,0.5,0.5,0.8,0.8,0.15,electronic_local,multiscale,per_endpoint
confirmation,4211,1,0.8661241281970142,0.8640827458314806,0.8659089803695679,125,8,0.001,1.0,1e-06,2.0,128,0.08,0.5,0.01,0.85,0.5,0.5,0.8,0.8,0.15,electronic_local,multiscale,per_endpoint
confirmation,4211,2,0.8008537099133277,0.7971941975588779,0.8090506792068481,125,8,0.001,1.0,1e-06,2.0,128,0.08,0.5,0.01,0.85,0.5,0.5,0.8,0.8,0.15,electronic_local,multiscale,per_endpoint
confirmation,4211,3,0.8712486075999248,0.8678176158404158,0.860618531703949,125,8,0.001,1.0,1e-06,2.0,128,0.08,0.5,0.01,0.85,0.5,0.5,0.8,0.8,0.15,electronic_local,multiscale,per_endpoint
confirmation,4211,4,0.882466666355153,0.8775040844620302,0.8763935565948486,125,8,0.001,1.0,1e-06,2.0,128,0.08,0.5,0.01,0.85,0.5,0.5,0.8,0.8,0.15,electronic_local,multiscale,per_endpoint
confirmation,1701,0,0.8439428813154793,0.8410210734970702,0.7926244139671326,250,4,0.003,0.1,1e-05,1.0,64,0.25,0.5,0.0,0.85,1.0,0.2,0.5,0.2,0.05,periodic_valence,multiscale,per_endpoint
confirmation,1701,1,0.8774287566506995,0.8754528686284011,0.8738813996315002,250,4,0.003,0.1,1e-05,1.0,64,0.25,0.5,0.0,0.85,1.0,0.2,0.5,0.2,0.05,periodic_valence,multiscale,per_endpoint
confirmation,1701,2,0.8164018383668287,0.8140676553610545,0.8350505828857422,250,4,0.003,0.1,1e-05,1.0,64,0.25,0.5,0.0,0.85,1.0,0.2,0.5,0.2,0.05,periodic_valence,multiscale,per_endpoint
confirmation,1701,3,0.8839319037157791,0.8808504140572853,0.880534291267395,250,4,0.003,0.1,1e-05,1.0,64,0.25,0.5,0.0,0.85,1.0,0.2,0.5,0.2,0.05,periodic_valence,multiscale,per_endpoint
confirmation,1701,4,0.9085075682487095,0.9054871310415631,0.9072487950325012,250,4,0.003,0.1,1e-05,1.0,64,0.25,0.5,0.0,0.85,1.0,0.2,0.5,0.2,0.05,periodic_valence,multiscale,per_endpoint
confirmation,2909,0,0.8412409039192376,0.8382451338055696,0.795641303062439,250,4,0.003,0.1,1e-05,1.0,64,0.25,0.5,0.0,0.85,1.0,0.2,0.5,0.2,0.05,periodic_valence,multiscale,per_endpoint
confirmation,2909,1,0.8509695458821418,0.8483113515621117,0.859446108341217,250,4,0.003,0.1,1e-05,1.0,64,0.25,0.5,0.0,0.85,1.0,0.2,0.5,0.2,0.05,periodic_valence,multiscale,per_endpoint
confirmation,2909,2,0.8386666824108183,0.8364983515363371,0.8607715964317322,250,4,0.003,0.1,1e-05,1.0,64,0.25,0.5,0.0,0.85,1.0,0.2,0.5,0.2,0.05,periodic_valence,multiscale,per_endpoint
confirmation,2909,3,0.8868670200690038,0.8822012615098322,0.8792406320571899,250,4,0.003,0.1,1e-05,1.0,64,0.25,0.5,0.0,0.85,1.0,0.2,0.5,0.2,0.05,periodic_valence,multiscale,per_endpoint
confirmation,2909,4,0.8985162634408199,0.894607341173433,0.8902419209480286,250,4,0.003,0.1,1e-05,1.0,64,0.25,0.5,0.0,0.85,1.0,0.2,0.5,0.2,0.05,periodic_valence,multiscale,per_endpoint
confirmation,4211,0,0.8505421684891141,0.8478893313737568,0.8032227158546448,250,4,0.003,0.1,1e-05,1.0,64,0.25,0.5,0.0,0.85,1.0,0.2,0.5,0.2,0.05,periodic_valence,multiscale,per_endpoint
confirmation,4211,1,0.865600580929577,0.8626421216606319,0.8628833293914795,250,4,0.003,0.1,1e-05,1.0,64,0.25,0.5,0.0,0.85,1.0,0.2,0.5,0.2,0.05,periodic_valence,multiscale,per_endpoint
confirmation,4211,2,0.8349458796223883,0.8306830013804669,0.8428717255592346,250,4,0.003,0.1,1e-05,1.0,64,0.25,0.5,0.0,0.85,1.0,0.2,0.5,0.2,0.05,periodic_valence,multiscale,per_endpoint
confirmation,4211,3,0.8793386258035708,0.8756009559495694,0.8707193732261658,250,4,0.003,0.1,1e-05,1.0,64,0.25,0.5,0.0,0.85,1.0,0.2,0.5,0.2,0.05,periodic_valence,multiscale,per_endpoint
confirmation,4211,4,0.8870804913178617,0.8825098754703926,0.9028363823890686,250,4,0.003,0.1,1e-05,1.0,64,0.25,0.5,0.0,0.85,1.0,0.2,0.5,0.2,0.05,periodic_valence,multiscale,per_endpoint
