stage,seed,fold,validation_ma_st_rae,validation_point_ma_st_rae,validation_rmse,generations,hidden_channels,ca_lr,ridge,ca_l2,gradient_clip,batch_molecules,update_scale,init_scale,initial_noise,support_fraction,bond_temperature,dyn_a,dyn_b,dyn_c,dyn_d,atom_feature_profile,loss_mode,interval_loss_beta,interval_temperature
stage1,1701,0,0.9776143990012177,0.9593885297888498,0.8618559837341309,32,8,0.001,0.01,1e-06,1.0,64,0.25,0.5,0.01,0.6,0.5,0.2,0.2,0.8,0.3,electronic_local,mse,0.0,0.1
stage1,1701,0,0.986346700162801,0.9711768162579003,0.8689101934432983,64,8,0.001,0.01,0.0001,1.0,128,0.4,1.5,0.005,0.85,1.0,0.5,0.5,0.5,0.3,periodic_electronic,hybrid_interval,0.25,0.02
stage1,1701,0,0.9541006397172643,0.9392521673462786,0.8673352003097534,250,8,0.003,0.01,1e-06,0.5,64,0.4,1.0,0.005,0.6,1.0,0.8,0.2,0.5,0.3,comprehensive,mse,0.0,0.1
stage1,1701,0,0.9830464577373972,0.970112138248464,0.8899110555648804,250,4,0.0003,1.0,0.0001,2.0,128,0.15,1.0,0.01,0.75,0.5,0.8,0.2,0.5,0.3,valence,hybrid_interval,0.25,0.1
stage1,1701,0,1.0130889933919414,0.9984043238716362,0.8771143555641174,32,4,0.0003,0.01,1e-05,0.5,128,0.25,1.5,0.005,0.75,1.0,0.5,0.8,0.5,0.05,electronic_local,hybrid_interval,0.25,0.05
stage1,1701,0,0.9675857869194526,0.9544400630153782,0.8701995015144348,64,4,0.003,0.01,1e-06,1.0,64,0.4,1.0,0.01,0.85,0.5,0.5,0.5,0.2,0.15,comprehensive,mse,0.0,0.05
stage1,1701,0,1.0227393079596903,1.001983296876092,0.8578914999961853,32,16,0.0003,0.01,1e-06,1.0,128,0.25,1.5,0.005,0.6,0.5,0.5,0.8,0.2,0.3,periodic_electronic,hybrid_interval,0.75,0.1
stage2,1701,0,0.8742460389580927,0.870449668637175,0.8172633051872253,64,8,0.003,0.1,1e-05,0.5,128,0.4,1.0,0.0,0.75,0.5,0.5,0.5,0.2,0.3,electronic,hybrid_interval,0.75,0.05
stage2,1701,1,0.8910264538879328,0.8876742676198673,0.8752888441085815,64,8,0.003,0.1,1e-05,0.5,128,0.4,1.0,0.0,0.75,0.5,0.5,0.5,0.2,0.3,electronic,hybrid_interval,0.75,0.05
stage2,1701,2,0.8786204255002258,0.8734110913948523,0.8842670321464539,64,8,0.003,0.1,1e-05,0.5,128,0.4,1.0,0.0,0.75,0.5,0.5,0.5,0.2,0.3,electronic,hybrid_interval,0.75,0.05
stage2,1701,0,0.8557394124890018,0.8510765859133972,0.7870621085166931,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
stage2,1701,1,0.8938778087905125,0.8900827644622912,0.885572612285614,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
stage2,1701,2,0.8419011687825312,0.8367568903719371,0.8630064725875854,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
stage2,1701,0,0.8874763410995032,0.8823376814230837,0.824245274066925,250,8,0.0003,0.1,1e-05,0.5,64,0.08,1.0,0.01,0.6,2.0,0.2,0.2,0.2,0.3,local_environment,hybrid_interval,0.5,0.02
stage2,1701,1,0.9411605238169775,0.9371030484534066,0.9029864072799683,250,8,0.0003,0.1,1e-05,0.5,64,0.08,1.0,0.01,0.6,2.0,0.2,0.2,0.2,0.3,local_environment,hybrid_interval,0.5,0.02
stage2,1701,2,0.9109202437074905,0.9056154735478794,0.8877251744270325,250,8,0.0003,0.1,1e-05,0.5,64,0.08,1.0,0.01,0.6,2.0,0.2,0.2,0.2,0.3,local_environment,hybrid_interval,0.5,0.02
stage2,1701,0,0.9214057478676737,0.9175816581407643,0.8439774513244629,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline,mse,0.0,0.05
stage2,1701,1,0.9383114372109195,0.9351418143462193,0.903325617313385,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline,mse,0.0,0.05
stage2,1701,2,0.9203413400604255,0.9138699338014432,0.8881371021270752,64,8,0.001,0.1,1e-05,1.0,64,0.25,1.0,0.0,0.75,1.0,0.5,0.5,0.5,0.2,baseline,mse,0.0,0.05
stage2,1701,0,0.8538026129770901,0.8497056688987596,0.815798819065094,16,4,0.003,1.0,1e-05,0.5,128,0.15,1.0,0.01,0.6,1.0,0.8,0.2,0.5,0.3,local_environment,hybrid_interval,0.5,0.05
stage2,1701,1,0.8820029174708479,0.8787848983367043,0.8836261034011841,16,4,0.003,1.0,1e-05,0.5,128,0.15,1.0,0.01,0.6,1.0,0.8,0.2,0.5,0.3,local_environment,hybrid_interval,0.5,0.05
stage2,1701,2,0.8779352534888499,0.8723106334523464,0.8834167122840881,16,4,0.003,1.0,1e-05,0.5,128,0.15,1.0,0.01,0.6,1.0,0.8,0.2,0.5,0.3,local_environment,hybrid_interval,0.5,0.05
stage2,1701,0,0.8648909450676122,0.8610640686460136,0.8044250011444092,16,16,0.003,1.0,1e-06,1.0,64,0.25,1.5,0.0,0.6,1.0,0.5,0.2,0.2,0.15,local_environment,hybrid_interval,0.25,0.1
stage2,1701,1,0.8960832165065413,0.892830801877798,0.8743775486946106,16,16,0.003,1.0,1e-06,1.0,64,0.25,1.5,0.0,0.6,1.0,0.5,0.2,0.2,0.15,local_environment,hybrid_interval,0.25,0.1
stage2,1701,2,0.8512434829827894,0.8459728339010044,0.8659899830818176,16,16,0.003,1.0,1e-06,1.0,64,0.25,1.5,0.0,0.6,1.0,0.5,0.2,0.2,0.15,local_environment,hybrid_interval,0.25,0.1
stage2,1701,0,0.8928687038191654,0.8883989983245151,0.8296274542808533,125,8,0.003,0.1,1e-06,0.5,64,0.15,0.5,0.0,0.6,1.0,0.5,0.2,0.8,0.3,valence,hybrid_interval,0.5,0.05
stage2,1701,1,0.923369099012221,0.9195659299146348,0.885810911655426,125,8,0.003,0.1,1e-06,0.5,64,0.15,0.5,0.0,0.6,1.0,0.5,0.2,0.8,0.3,valence,hybrid_interval,0.5,0.05
stage2,1701,2,0.8559518260954396,0.8508361368148671,0.8641353249549866,125,8,0.003,0.1,1e-06,0.5,64,0.15,0.5,0.0,0.6,1.0,0.5,0.2,0.8,0.3,valence,hybrid_interval,0.5,0.05
stage2,1701,0,0.8654885990110395,0.8618717224150451,0.8138262033462524,64,8,0.003,1.0,0.0001,1.0,64,0.15,1.5,0.005,0.6,2.0,0.8,0.8,0.5,0.15,baseline,hybrid_interval,0.25,0.1
stage2,1701,1,0.9064157714037793,0.9027909300588993,0.9047188758850098,64,8,0.003,1.0,0.0001,1.0,64,0.15,1.5,0.005,0.6,2.0,0.8,0.8,0.5,0.15,baseline,hybrid_interval,0.25,0.1
stage2,1701,2,0.8628855572639439,0.8572991370331553,0.8707829713821411,64,8,0.003,1.0,0.0001,1.0,64,0.15,1.5,0.005,0.6,2.0,0.8,0.8,0.5,0.15,baseline,hybrid_interval,0.25,0.1
confirmation,1701,0,0.8235659928018181,0.8210747563428168,0.7714871168136597,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
confirmation,1701,1,0.8757538756278338,0.8736072265332521,0.8681947588920593,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
confirmation,1701,2,0.8107192184682787,0.8081959207021687,0.819637656211853,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
confirmation,1701,3,0.8754337005881069,0.8724425783443168,0.8705633878707886,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
confirmation,1701,4,0.8835191381517213,0.8808013159997845,0.885368824005127,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
confirmation,2909,0,0.8526867690246411,0.8495047913389009,0.7902215719223022,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
confirmation,2909,1,0.8983610250750945,0.8960547401758027,0.8799422979354858,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
confirmation,2909,2,0.8225339189686779,0.8190211000457938,0.8361430764198303,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
confirmation,2909,3,0.864793941825105,0.8610965587488425,0.8736443519592285,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
confirmation,2909,4,0.8809261970231754,0.8769152771664495,0.8849196434020996,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
confirmation,4211,0,0.8337006256711965,0.8312516846513032,0.7846366763114929,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
confirmation,4211,1,0.8577492374577378,0.8558476092524472,0.8617376089096069,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
confirmation,4211,2,0.8240674469448416,0.8205654835764712,0.8268811106681824,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
confirmation,4211,3,0.8947209112228882,0.8903046001689193,0.8860321640968323,64,16,0.003,1.0,1e-06,2.0,128,0.08,1.0,0.01,0.6,0.5,0.2,0.2,0.8,0.05,periodic_valence,mse,0.0,0.1
