molecule_id,cyp_target,radius,repeat,maximum_absolute_state,early_sliced_distance,late_sliced_distance,sliced_distance_ratio,baseline_sliced_distance,late_to_baseline_ratio,early_cloud_distance,late_cloud_distance,cloud_distance_ratio,late_coherence_mean,late_coherence_std,late_coherence_spectral_entropy
OCNT-2328784,CYP1A2,0.5,3,0.999998457546735,0.23318656433549897,0.14214357531373942,0.6095701770760225,0.229806872461877,0.6185349193041205,0.8311289177489508,0.8395412435135551,1.010121565481548,0.13237778124119715,0.07453508002394174,0.5309835077929566
OCNT-2328784,CYP1A2,0.5,4,0.9999930062005031,0.2460154751087709,0.1783216165500021,0.7248390227125375,0.229806872461877,0.7759629407061537,0.8370070161775022,0.833610756917612,0.9959423765939258,0.12558747833880238,0.0584869239441253,0.5570230289431157
OCNT-2328784,CYP1A2,0.5,5,0.9999958538558229,0.24844152339011183,0.16388546304181661,0.65965407394672,0.229806872461877,0.7131443080276192,0.8492154424957652,0.8471006351813359,0.9975096928192756,0.1602557689604136,0.07298010229097017,0.5774368361131255
OCNT-2328784,CYP1A2,0.5,6,0.9999985013012883,0.23068774272291953,0.15304695333664323,0.6634377341862886,0.229806872461877,0.6659807502581647,0.8520097521994672,0.8419291520043762,0.9881684450570339,0.13366292501721683,0.06711655813965701,0.552475816069759
OCNT-2328784,CYP1A2,0.5,7,0.9999976560150261,0.25142395799492784,0.15862340147101048,0.6309001048906028,0.229806872461877,0.690246552558278,0.8473554908146151,0.8362213620341633,0.9868601444126504,0.13194514494356735,0.06942303082514566,0.5871495160915498
OCNT-2328784,CYP1A2,0.5,8,0.9999959216756534,0.2327373508885048,0.15406008688472883,0.6619482704283803,0.229806872461877,0.6703893805886335,0.8434934599875169,0.8317977704755547,0.9861342262071181,0.16394305878793938,0.08096102089942782,0.5690701714913544
OCNT-2328784,CYP1A2,1.0,1,0.9999979581300873,0.2390293932166413,0.15547907311543974,0.6504600585858629,0.229806872461877,0.6765640707339263,0.8494664482112378,0.8596333351181737,1.011968556178228,0.13265068808800154,0.06070762136636656,0.5801517502324781
OCNT-2328784,CYP1A2,1.0,2,0.9999999020135948,0.24460375269508852,0.1310647015601341,0.5358245738916082,0.229806872461877,0.5703254221950069,0.8487313571037151,0.8213261980076161,0.9677104435146373,0.1362640896274915,0.06797076704267696,0.5410919478860994
OCNT-2328784,CYP1A2,1.0,3,0.999996564166266,0.23494824489298538,0.14716963671603775,0.6263917263270931,0.229806872461877,0.6404057247698366,0.8504413396743127,0.8361890036584722,0.9832412473959713,0.13650530440667,0.07999600181182422,0.527829925891296
OCNT-2328784,CYP1A2,1.0,4,0.9999998557039377,0.2628787678272168,0.15555191749995848,0.5917249186217983,0.229806872461877,0.6768810516132985,0.8484197993012614,0.8251989738342923,0.9726305002711002,0.14702467519434737,0.06127097000588406,0.5935291715869053
OCNT-2328784,CYP1A2,1.0,5,0.9999988788318823,0.22421514930246353,0.13116809725699505,0.5850099677254674,0.229806872461877,0.5707753464977628,0.8537902266882845,0.83282366584504,0.9754429598889056,0.12422774678318756,0.07926390490977755,0.5814796931087739
OCNT-2328784,CYP1A2,1.0,6,0.9999982110047824,0.22173905327153495,0.1489314331925823,0.6716517951856021,0.229806872461877,0.6480721468296766,0.8566242454619217,0.828147046744104,0.9667564876097315,0.12292647698917156,0.06167082800481418,0.5775495291891665
OCNT-2328784,CYP1A2,1.0,7,0.9999979128438882,0.24420227128899552,0.14500400962762203,0.5937864904459483,0.229806872461877,0.6309820418955353,0.8499845553920249,0.8290285446211687,0.9753454217045262,0.13558031364756767,0.07122245954053168,0.5274377725856466
